id,name,productCount,subtreeProductCount,parent,numChildren,pathName,children,alsoCount,also
0,Pet Supplies,4113,0,0,34,['Pet Supplies'],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0,[]
1,Dogs,25,72403,0,16,"['Pet Supplies', 'Dogs']","[359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374]",0,[]
2,Pet Supplies: International Shipping Available,957,957,0,0,"['Pet Supplies', 'Pet Supplies: International Shipping Available']",[],11,"[(391, 6), (448, 3), (252, 2), (343, 2), (407, 2), (406, 2), (457, 1), (31, 1), (400, 1), (371, 1), (520, 1)]"
3,Small Animals,4,3090,0,11,"['Pet Supplies', 'Small Animals']","[335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345]",0,[]
4,Cats,17,12983,0,16,"['Pet Supplies', 'Cats']","[231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246]",0,[]
5,Fish & Aquatic Pets,6,8155,0,16,"['Pet Supplies', 'Fish & Aquatic Pets']","[201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216]",0,[]
6,Birds,0,3867,0,7,"['Pet Supplies', 'Birds']","[182, 183, 184, 185, 186, 187, 188]",0,[]
7,Horses,15,2424,0,9,"['Pet Supplies', 'Horses']","[148, 149, 150, 151, 152, 153, 154, 155, 156]",0,[]
8,Buy $25 Save $5 on Nylabone,0,114,0,2,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone']","[142, 143]",0,[]
9,Pet Behavior Center,0,573,0,5,"['Pet Supplies', 'Pet Behavior Center']","[121, 122, 123, 124, 125]",0,[]
10,Tetra Pond,0,22,0,4,"['Pet Supplies', 'Tetra Pond']","[117, 118, 119, 120]",0,[]
11,Bunny Rabbit Central,0,311,0,8,"['Pet Supplies', 'Bunny Rabbit Central']","[109, 110, 111, 112, 113, 114, 115, 116]",0,[]
12,Reptiles & Amphibians,0,1096,0,11,"['Pet Supplies', 'Reptiles & Amphibians']","[93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103]",0,[]
13,"Spend $25, Save $5 on Select Aquarium Products",2,2,0,0,"['Pet Supplies', 'Spend $25, Save $5 on Select Aquarium Products']",[],0,[]
14,Hagen,0,475,0,37,"['Pet Supplies', 'Hagen']","[56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92]",0,[]
15,Fish for Savings; Up to 70% Off Select Tetra Products,1,1,0,0,"['Pet Supplies', 'Fish for Savings; Up to 70% Off Select Tetra Products']",[],0,[]
16,Buy $25 Save $5 on Kaytee,0,71,0,1,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee']",[48],0,[]
17,Buy $50 Save $10 on Wee-Wee Products,0,2,0,1,"['Pet Supplies', 'Buy $50 Save $10 on Wee-Wee Products']",[47],0,[]
18,"Buy 1 Dog Puzzle, Save 20% on Kyjen Dog Toy",2,2,0,0,"['Pet Supplies', 'Buy 1 Dog Puzzle, Save 20% on Kyjen Dog Toy']",[],0,[]
19,$5 Off $25 Plush Puppies Holiday Toys,2,2,0,0,"['Pet Supplies', '$5 Off $25 Plush Puppies Holiday Toys']",[],0,[]
20,May The Fourth Be With Your Pets,1,1,0,0,"['Pet Supplies', 'May The Fourth Be With Your Pets']",[],1,"[(391, 1)]"
21,Green,9,9,0,0,"['Pet Supplies', 'Green']",[],0,[]
22,Pet Supplies Markdowns,7,7,0,0,"['Pet Supplies', 'Pet Supplies Markdowns']",[],0,[]
23,Havahart Wireless,0,3,0,1,"['Pet Supplies', 'Havahart Wireless']",[44],0,[]
24,Insects,18,18,0,0,"['Pet Supplies', 'Insects']",[],0,[]
25,SportDog,0,7,0,4,"['Pet Supplies', 'SportDog']","[40, 41, 42, 43]",0,[]
26,PetSafe,0,1,0,1,"['Pet Supplies', 'PetSafe']",[39],0,[]
27,Up to 50% Off Pet Toys & Outdoor Products,12,12,0,0,"['Pet Supplies', 'Up to 50% Off Pet Toys & Outdoor Products']",[],0,[]
28,$15 Off $75 on Midwest Beds,1,1,0,0,"['Pet Supplies', '$15 Off $75 on Midwest Beds']",[],0,[]
29,Flea & Tick Center,0,2,0,1,"['Pet Supplies', 'Flea & Tick Center']",[36],0,[]
30,Classic Accessories Pets,0,2,0,1,"['Pet Supplies', 'Classic Accessories Pets']",[35],0,[]
31,Pets Best-Selling Halloween Costumes,4,4,0,0,"['Pet Supplies', 'Pets Best-Selling Halloween Costumes']",[],2,"[(391, 1), (2, 1)]"
32,Last Minute Holiday Pet Deals: Save up to 50%,3,3,0,0,"['Pet Supplies', 'Last Minute Holiday Pet Deals: Save up to 50%']",[],0,[]
33,Pet Decor,1,1,0,0,"['Pet Supplies', 'Pet Decor']",[],0,[]
34,Save 20% or More on Select Pet Naturals of Vermont,1,1,0,0,"['Pet Supplies', 'Save 20% or More on Select Pet Naturals of Vermont']",[],0,[]
35,Food & Hydration Packs,2,2,30,0,"['Pet Supplies', 'Classic Accessories Pets', 'Food & Hydration Packs']",[],0,[]
36,"Adams, Bio Spot & Zodiac",0,2,29,2,"['Pet Supplies', 'Flea & Tick Center', 'Adams, Bio Spot & Zodiac']","[37, 38]",0,[]
37,Bio Spot Home,1,1,36,0,"['Pet Supplies', 'Flea & Tick Center', 'Adams, Bio Spot & Zodiac', 'Bio Spot Home']",[],0,[]
38,Bio Spot Cat,1,1,36,0,"['Pet Supplies', 'Flea & Tick Center', 'Adams, Bio Spot & Zodiac', 'Bio Spot Cat']",[],0,[]
39,Doors & Accessories,1,1,26,0,"['Pet Supplies', 'PetSafe', 'Doors & Accessories']",[],0,[]
40,E-Collar Accessories,1,1,25,0,"['Pet Supplies', 'SportDog', 'E-Collar Accessories']",[],0,[]
41,"Whistles, Bells & Lanyards",3,3,25,0,"['Pet Supplies', 'SportDog', 'Whistles, Bells & Lanyards']",[],0,[]
42,Collars & Leads,1,1,25,0,"['Pet Supplies', 'SportDog', 'Collars & Leads']",[],0,[]
43,Dummies,2,2,25,0,"['Pet Supplies', 'SportDog', 'Dummies']",[],0,[]
44,Dog Doors,0,3,23,2,"['Pet Supplies', 'Havahart Wireless', 'Dog Doors']","[45, 46]",0,[]
45,Aluminum,2,2,44,0,"['Pet Supplies', 'Havahart Wireless', 'Dog Doors', 'Aluminum']",[],0,[]
46,Plastic,1,1,44,0,"['Pet Supplies', 'Havahart Wireless', 'Dog Doors', 'Plastic']",[],0,[]
47,Training Solutions,2,2,17,0,"['Pet Supplies', 'Buy $50 Save $10 on Wee-Wee Products', 'Training Solutions']",[],0,[]
48,Food,0,71,16,7,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food']","[49, 50, 51, 52, 53, 54, 55]",0,[]
49,Large Birds,17,17,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Large Birds']",[],0,[]
50,Small Birds,29,29,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Small Birds']",[],0,[]
51,Guinea Pigs,6,6,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Guinea Pigs']",[],0,[]
52,Rabbits,8,8,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Rabbits']",[],0,[]
53,Mice & Rats,3,3,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Mice & Rats']",[],0,[]
54,Fish & Exotics,6,6,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Fish & Exotics']",[],0,[]
55,Hamsters & Gerbils,2,2,48,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Hamsters & Gerbils']",[],0,[]
56,Marina,9,9,14,0,"['Pet Supplies', 'Hagen', 'Marina']",[],0,[]
57,All Aquatic & Pond,116,116,14,0,"['Pet Supplies', 'Hagen', 'All Aquatic & Pond']",[],0,[]
58,Fish Food,40,40,14,0,"['Pet Supplies', 'Hagen', 'Fish Food']",[],0,[]
59,Terrariums/Stands,20,20,14,0,"['Pet Supplies', 'Hagen', 'Terrariums/Stands']",[],0,[]
60,All Reptile,46,46,14,0,"['Pet Supplies', 'Hagen', 'All Reptile']",[],0,[]
61,Nutrafin,10,10,14,0,"['Pet Supplies', 'Hagen', 'Nutrafin']",[],0,[]
62,Bird Food,20,20,14,0,"['Pet Supplies', 'Hagen', 'Bird Food']",[],0,[]
63,Heaters,19,19,14,0,"['Pet Supplies', 'Hagen', 'Heaters']",[],0,[]
64,Elite,2,2,14,0,"['Pet Supplies', 'Hagen', 'Elite']",[],0,[]
65,Glo,2,2,14,0,"['Pet Supplies', 'Hagen', 'Glo']",[],0,[]
66,Reptile Heating,9,9,14,0,"['Pet Supplies', 'Hagen', 'Reptile Heating']",[],0,[]
67,Incandescent Lighting,16,16,14,0,"['Pet Supplies', 'Hagen', 'Incandescent Lighting']",[],0,[]
68,Bird Treats,12,12,14,0,"['Pet Supplies', 'Hagen', 'Bird Treats']",[],0,[]
69,Small Animal Treats,6,6,14,0,"['Pet Supplies', 'Hagen', 'Small Animal Treats']",[],0,[]
70,TropiMix,7,7,14,0,"['Pet Supplies', 'Hagen', 'TropiMix']",[],0,[]
71,Tropican,14,14,14,0,"['Pet Supplies', 'Hagen', 'Tropican']",[],0,[]
72,Bird Toys,33,33,14,0,"['Pet Supplies', 'Hagen', 'Bird Toys']",[],0,[]
73,All Bird,11,11,14,0,"['Pet Supplies', 'Hagen', 'All Bird']",[],0,[]
74,Fluorescent Lighting,10,10,14,0,"['Pet Supplies', 'Hagen', 'Fluorescent Lighting']",[],0,[]
75,Exo Terra,14,14,14,0,"['Pet Supplies', 'Hagen', 'Exo Terra']",[],0,[]
76,Habitrail,2,2,14,0,"['Pet Supplies', 'Hagen', 'Habitrail']",[],0,[]
77,Laguna,2,2,14,0,"['Pet Supplies', 'Hagen', 'Laguna']",[],0,[]
78,Cat Toys,2,2,14,0,"['Pet Supplies', 'Hagen', 'Cat Toys']",[],0,[]
79,Small Animal Housing,5,5,14,0,"['Pet Supplies', 'Hagen', 'Small Animal Housing']",[],0,[]
80,Vision,6,6,14,0,"['Pet Supplies', 'Hagen', 'Vision']",[],0,[]
81,Pet Cargo,1,1,14,0,"['Pet Supplies', 'Hagen', 'Pet Cargo']",[],0,[]
82,Small Animal Food,4,4,14,0,"['Pet Supplies', 'Hagen', 'Small Animal Food']",[],0,[]
83,Catit,4,4,14,0,"['Pet Supplies', 'Hagen', 'Catit']",[],0,[]
84,Reptile Substrates,1,1,14,0,"['Pet Supplies', 'Hagen', 'Reptile Substrates']",[],0,[]
85,All Cat,1,1,14,0,"['Pet Supplies', 'Hagen', 'All Cat']",[],0,[]
86,Dog Toys,20,20,14,0,"['Pet Supplies', 'Hagen', 'Dog Toys']",[],0,[]
87,Reptile Decor,1,1,14,0,"['Pet Supplies', 'Hagen', 'Reptile Decor']",[],0,[]
88,Small Animal Toys,5,5,14,0,"['Pet Supplies', 'Hagen', 'Small Animal Toys']",[],0,[]
89,Fluval,2,2,14,0,"['Pet Supplies', 'Hagen', 'Fluval']",[],0,[]
90,Cat Grooming,1,1,14,0,"['Pet Supplies', 'Hagen', 'Cat Grooming']",[],0,[]
91,All Dog,1,1,14,0,"['Pet Supplies', 'Hagen', 'All Dog']",[],0,[]
92,Nano Aquariums,1,1,14,0,"['Pet Supplies', 'Hagen', 'Nano Aquariums']",[],0,[]
93,Habitat Lighting,173,173,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Habitat Lighting']",[],0,[]
94,Terrarium Heat Lamps & Mats,6,135,12,2,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Heat Lamps & Mats']","[107, 108]",0,[]
95,Food,325,325,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Food']",[],0,[]
96,Reptile Houses,103,103,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Reptile Houses']",[],0,[]
97,Thermometers,16,16,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Thermometers']",[],0,[]
98,Health Supplies,80,80,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Health Supplies']",[],0,[]
99,Terrarium Covers,60,60,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Covers']",[],0,[]
100,"Terrarium Bedding, Sand & Substrate",6,138,12,3,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Bedding, Sand & Substrate']","[104, 105, 106]",0,[]
101,Terrariums,24,24,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrariums']",[],0,[]
102,Terrarium Bowls,37,37,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Bowls']",[],0,[]
103,Hygrometers,5,5,12,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Hygrometers']",[],0,[]
104,Substrate,85,85,100,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Bedding, Sand & Substrate', 'Substrate']",[],0,[]
105,Bedding,33,33,100,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Bedding, Sand & Substrate', 'Bedding']",[],0,[]
106,Sand,14,14,100,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Bedding, Sand & Substrate', 'Sand']",[],0,[]
107,Heat Lamps,78,78,94,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Heat Lamps & Mats', 'Heat Lamps']",[],0,[]
108,Heat Mats,51,51,94,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Heat Lamps & Mats', 'Heat Mats']",[],0,[]
109,Food,146,146,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Food']",[],0,[]
110,Treats,69,69,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Treats']",[],0,[]
111,Toys,64,64,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Toys']",[],0,[]
112,Odor & Stain Removers,1,1,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Odor & Stain Removers']",[],0,[]
113,Carriers,6,6,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Carriers']",[],0,[]
114,Rabbit Hutches,21,21,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Rabbit Hutches']",[],0,[]
115,Houses & Habitats,2,2,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Houses & Habitats']",[],0,[]
116,Grooming,2,2,11,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Grooming']",[],0,[]
117,Tetra Pond Food,10,10,10,0,"['Pet Supplies', 'Tetra Pond', 'Tetra Pond Food']",[],0,[]
118,Tetra Pond Plant Care,1,1,10,0,"['Pet Supplies', 'Tetra Pond', 'Tetra Pond Plant Care']",[],0,[]
119,Tetra Pond Water Care,9,9,10,0,"['Pet Supplies', 'Tetra Pond', 'Tetra Pond Water Care']",[],0,[]
120,Tetra Pond Equipment,2,2,10,0,"['Pet Supplies', 'Tetra Pond', 'Tetra Pond Equipment']",[],0,[]
121,Potty Training,0,267,9,3,"['Pet Supplies', 'Pet Behavior Center', 'Potty Training']","[139, 140, 141]",0,[]
122,Pet Proofing,0,48,9,3,"['Pet Supplies', 'Pet Behavior Center', 'Pet Proofing']","[136, 137, 138]",0,[]
123,Fencing & Containment,1,130,9,3,"['Pet Supplies', 'Pet Behavior Center', 'Fencing & Containment']","[133, 134, 135]",0,[]
124,Barking Control,2,46,9,3,"['Pet Supplies', 'Pet Behavior Center', 'Barking Control']","[130, 131, 132]",0,[]
125,Dog Training,0,82,9,4,"['Pet Supplies', 'Pet Behavior Center', 'Dog Training']","[126, 127, 128, 129]",0,[]
126,Training Harnesses & Leashes,5,5,125,0,"['Pet Supplies', 'Pet Behavior Center', 'Dog Training', 'Training Harnesses & Leashes']",[],0,[]
127,Home Pet Trainers,29,29,125,0,"['Pet Supplies', 'Pet Behavior Center', 'Dog Training', 'Home Pet Trainers']",[],0,[]
128,Clicker Trainers,12,12,125,0,"['Pet Supplies', 'Pet Behavior Center', 'Dog Training', 'Clicker Trainers']",[],0,[]
129,Sporting Dog Trainers,36,36,125,0,"['Pet Supplies', 'Pet Behavior Center', 'Dog Training', 'Sporting Dog Trainers']",[],0,[]
130,Indoor Systems,7,7,124,0,"['Pet Supplies', 'Pet Behavior Center', 'Barking Control', 'Indoor Systems']",[],0,[]
131,Outdoor Systems,5,5,124,0,"['Pet Supplies', 'Pet Behavior Center', 'Barking Control', 'Outdoor Systems']",[],0,[]
132,Collars,32,32,124,0,"['Pet Supplies', 'Pet Behavior Center', 'Barking Control', 'Collars']",[],0,[]
133,In-Ground Fencing,78,78,123,0,"['Pet Supplies', 'Pet Behavior Center', 'Fencing & Containment', 'In-Ground Fencing']",[],0,[]
134,Wireless Fencing,7,7,123,0,"['Pet Supplies', 'Pet Behavior Center', 'Fencing & Containment', 'Wireless Fencing']",[],0,[]
135,Kennels,44,44,123,0,"['Pet Supplies', 'Pet Behavior Center', 'Fencing & Containment', 'Kennels']",[],0,[]
136,Chewing & Anxiety Solutions,18,18,122,0,"['Pet Supplies', 'Pet Behavior Center', 'Pet Proofing', 'Chewing & Anxiety Solutions']",[],0,[]
137,Protecting Outside Spaces,5,5,122,0,"['Pet Supplies', 'Pet Behavior Center', 'Pet Proofing', 'Protecting Outside Spaces']",[],0,[]
138,Protecting Inside Spaces,25,25,122,0,"['Pet Supplies', 'Pet Behavior Center', 'Pet Proofing', 'Protecting Inside Spaces']",[],0,[]
139,Litter & Refills,119,119,121,0,"['Pet Supplies', 'Pet Behavior Center', 'Potty Training', 'Litter & Refills']",[],0,[]
140,Litter Boxes,68,68,121,0,"['Pet Supplies', 'Pet Behavior Center', 'Potty Training', 'Litter Boxes']",[],0,[]
141,Potty Pads,80,80,121,0,"['Pet Supplies', 'Pet Behavior Center', 'Potty Training', 'Potty Pads']",[],0,[]
142,Toys,0,93,8,2,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone', 'Toys']","[146, 147]",0,[]
143,Treats,0,21,8,2,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone', 'Treats']","[144, 145]",0,[]
144,Dog,20,20,143,0,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone', 'Treats', 'Dog']",[],0,[]
145,Puppy,1,1,143,0,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone', 'Treats', 'Puppy']",[],0,[]
146,Dog,74,74,142,0,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone', 'Toys', 'Dog']",[],0,[]
147,Puppies,19,19,142,0,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone', 'Toys', 'Puppies']",[],0,[]
148,Farrier Supplies,3,46,7,3,"['Pet Supplies', 'Horses', 'Farrier Supplies']","[179, 180, 181]",0,[]
149,Health Supplies,19,962,7,7,"['Pet Supplies', 'Horses', 'Health Supplies']","[166, 167, 168, 169, 170, 171, 172]",0,[]
150,Pest Control,152,152,7,0,"['Pet Supplies', 'Horses', 'Pest Control']",[],0,[]
151,Stable Supplies,0,167,7,3,"['Pet Supplies', 'Horses', 'Stable Supplies']","[163, 164, 165]",0,[]
152,Grooming & Bathing Supplies,160,431,7,3,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies']","[160, 161, 162]",0,[]
153,Blankets & Sheets,215,406,7,1,"['Pet Supplies', 'Horses', 'Blankets & Sheets']",[159],0,[]
154,Food,5,5,7,0,"['Pet Supplies', 'Horses', 'Food']",[],0,[]
155,Treats,35,35,7,0,"['Pet Supplies', 'Horses', 'Treats']",[],0,[]
156,Boots & Wraps,2,205,7,2,"['Pet Supplies', 'Horses', 'Boots & Wraps']","[157, 158]",0,[]
157,Boots,197,197,156,0,"['Pet Supplies', 'Horses', 'Boots & Wraps', 'Boots']",[],0,[]
158,Wraps,6,6,156,0,"['Pet Supplies', 'Horses', 'Boots & Wraps', 'Wraps']",[],0,[]
159,Blankets,191,191,153,0,"['Pet Supplies', 'Horses', 'Blankets & Sheets', 'Blankets']",[],0,[]
160,Coat Care,163,163,152,0,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Coat Care']",[],0,[]
161,Hoof Picks,35,35,152,0,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Hoof Picks']",[],0,[]
162,Clippers,73,73,152,0,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Clippers']",[],0,[]
163,Tack Care & Storage,58,58,151,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Tack Care & Storage']",[],0,[]
164,Feeding & Watering Equipment,99,99,151,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Feeding & Watering Equipment']",[],0,[]
165,Stall & Muck Supplies,10,10,151,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Stall & Muck Supplies']",[],0,[]
166,Hoof Care,170,170,149,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Hoof Care']",[],0,[]
167,Vitamins & Supplements,377,497,149,6,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements']","[173, 174, 175, 176, 177, 178]",0,[]
168,Wormers,57,57,149,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Wormers']",[],0,[]
169,Liniments,89,89,149,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Liniments']",[],0,[]
170,Wound Care,106,106,149,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Wound Care']",[],0,[]
171,Digestive Aids,9,9,149,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Digestive Aids']",[],0,[]
172,Salt Licks,15,15,149,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Salt Licks']",[],0,[]
173,"Skin, Coat & Hoof Supplements",20,20,167,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Skin, Coat & Hoof Supplements']",[],0,[]
174,Vitamins & Minerals,27,27,167,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Vitamins & Minerals']",[],0,[]
175,Joint Supplements,40,40,167,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Joint Supplements']",[],0,[]
176,Weight Building Supplements,4,4,167,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Weight Building Supplements']",[],0,[]
177,Electrolyte Supplements,12,12,167,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Electrolyte Supplements']",[],0,[]
178,Calming Supplements,17,17,167,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Calming Supplements']",[],0,[]
179,Tools,28,28,148,0,"['Pet Supplies', 'Horses', 'Farrier Supplies', 'Tools']",[],0,[]
180,Horseshoes,11,11,148,0,"['Pet Supplies', 'Horses', 'Farrier Supplies', 'Horseshoes']",[],0,[]
181,Shoeing & Tool Boxes,4,4,148,0,"['Pet Supplies', 'Horses', 'Farrier Supplies', 'Shoeing & Tool Boxes']",[],0,[]
182,Health Supplies,151,151,6,0,"['Pet Supplies', 'Birds', 'Health Supplies']",[],0,[]
183,Cages & Accessories,31,1292,6,10,"['Pet Supplies', 'Birds', 'Cages & Accessories']","[191, 192, 193, 194, 195, 196, 197, 198, 199, 200]",0,[]
184,Carriers,48,48,6,0,"['Pet Supplies', 'Birds', 'Carriers']",[],0,[]
185,Toys,876,876,6,0,"['Pet Supplies', 'Birds', 'Toys']",[],0,[]
186,Feeding & Watering Supplies,8,410,6,2,"['Pet Supplies', 'Birds', 'Feeding & Watering Supplies']","[189, 190]",0,[]
187,Food,888,888,6,0,"['Pet Supplies', 'Birds', 'Food']",[],0,[]
188,Treats,202,202,6,0,"['Pet Supplies', 'Birds', 'Treats']",[],0,[]
189,Feeders,383,383,186,0,"['Pet Supplies', 'Birds', 'Feeding & Watering Supplies', 'Feeders']",[],0,[]
190,Water Bottles,19,19,186,0,"['Pet Supplies', 'Birds', 'Feeding & Watering Supplies', 'Water Bottles']",[],0,[]
191,Perches,290,290,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Perches']",[],0,[]
192,Swings,42,42,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Swings']",[],0,[]
193,Birdcages,594,594,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Birdcages']",[],0,[]
194,Nests,96,96,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Nests']",[],0,[]
195,Birdcage Stands,37,37,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Birdcage Stands']",[],0,[]
