id,name,productCount,subtreeProductCount,parent,numChildren,pathName,children,alsoCount,also
196,Birdcage Covers,13,13,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Birdcage Covers']",[],0,[]
197,Seed Guards & Catchers,31,31,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Seed Guards & Catchers']",[],0,[]
198,Bird Baths,86,86,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Bird Baths']",[],0,[]
199,Bedding & Litter,33,33,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Bedding & Litter']",[],0,[]
200,Ladders,39,39,183,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Ladders']",[],0,[]
201,Pumps & Filters,0,3045,5,6,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters']","[225, 226, 227, 228, 229, 230]",0,[]
202,Aquarium Lights,855,855,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Lights']",[],0,[]
203,Food,958,958,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Food']",[],0,[]
204,Aquarium Substrate,2,249,5,2,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Substrate']","[223, 224]",0,[]
205,Cleaners,101,364,5,3,"['Pet Supplies', 'Fish & Aquatic Pets', 'Cleaners']","[220, 221, 222]",0,[]
206,Aquariums & Fish Bowls,0,1127,5,3,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquariums & Fish Bowls']","[217, 218, 219]",0,[]
207,Water Treatments,717,717,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Water Treatments']",[],0,[]
208,Hydrometers,20,20,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Hydrometers']",[],0,[]
209,Health Supplies,137,137,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Health Supplies']",[],0,[]
210,Test Kits,159,159,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Test Kits']",[],0,[]
211,Automatic Feeders,44,44,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Automatic Feeders']",[],0,[]
212,Aquarium Hoods,97,97,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Hoods']",[],0,[]
213,Breeding Tanks,26,26,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Breeding Tanks']",[],0,[]
214,Aquarium Heaters,239,239,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Heaters']",[],0,[]
215,Aquarium Stands,91,91,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Stands']",[],0,[]
216,Thermometers,21,21,5,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Thermometers']",[],0,[]
217,Aquariums,844,844,206,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquariums & Fish Bowls', 'Aquariums']",[],0,[]
218,Starter Kits,151,151,206,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquariums & Fish Bowls', 'Starter Kits']",[],0,[]
219,Fish Bowls,132,132,206,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquariums & Fish Bowls', 'Fish Bowls']",[],0,[]
220,Gravel Cleaners,91,91,205,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Cleaners', 'Gravel Cleaners']",[],0,[]
221,Algae Scrapers,126,126,205,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Cleaners', 'Algae Scrapers']",[],0,[]
222,Aquarium Nets,46,46,205,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Cleaners', 'Aquarium Nets']",[],0,[]
223,Gravel,172,172,204,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Substrate', 'Gravel']",[],0,[]
224,Sand,75,75,204,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Substrate', 'Sand']",[],0,[]
225,Air Pump Accessories,340,340,201,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Air Pump Accessories']",[],0,[]
226,Filters,834,834,201,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Filters']",[],0,[]
227,Filter Accessories,1098,1098,201,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Filter Accessories']",[],0,[]
228,Air Pumps,185,185,201,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Air Pumps']",[],0,[]
229,Water Pump Accessories,167,167,201,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Water Pump Accessories']",[],0,[]
230,Water Pumps,421,421,201,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Pumps & Filters', 'Water Pumps']",[],0,[]
231,Memorials,48,48,4,0,"['Pet Supplies', 'Cats', 'Memorials']",[],0,[]
232,Toys,192,1870,4,5,"['Pet Supplies', 'Cats', 'Toys']","[330, 331, 332, 333, 334]",0,[]
233,Health Supplies,93,1313,4,12,"['Pet Supplies', 'Cats', 'Health Supplies']","[304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315]",0,[]
234,Feeding & Watering Supplies,16,357,4,5,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies']","[299, 300, 301, 302, 303]",0,[]
235,Litter & Housebreaking,48,1307,4,5,"['Pet Supplies', 'Cats', 'Litter & Housebreaking']","[294, 295, 296, 297, 298]",0,[]
236,Treats,22,788,4,2,"['Pet Supplies', 'Cats', 'Treats']","[292, 293]",0,[]
237,Food,93,2954,4,2,"['Pet Supplies', 'Cats', 'Food']","[288, 289]",0,[]
238,Beds & Furniture,20,2924,4,8,"['Pet Supplies', 'Cats', 'Beds & Furniture']","[278, 279, 280, 281, 282, 283, 284, 285]",0,[]
239,Grooming,32,467,4,10,"['Pet Supplies', 'Cats', 'Grooming']","[263, 264, 265, 266, 267, 268, 269, 270, 271, 272]",0,[]
240,"Cat Flaps, Steps, Nets & Pens",4,119,4,3,"['Pet Supplies', 'Cats', 'Cat Flaps, Steps, Nets & Pens']","[258, 259, 260]",0,[]
241,Medications,3,3,4,0,"['Pet Supplies', 'Cats', 'Medications']",[],0,[]
242,Educational Repellents,11,53,4,2,"['Pet Supplies', 'Cats', 'Educational Repellents']","[256, 257]",0,[]
243,Carriers & Strollers,0,107,4,2,"['Pet Supplies', 'Cats', 'Carriers & Strollers']","[252, 253]",0,[]
244,"Collars, Harnesses & Leashes",0,577,4,4,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes']","[247, 248, 249, 250]",0,[]
245,Apparel,70,70,4,0,"['Pet Supplies', 'Cats', 'Apparel']",[],2,"[(391, 5), (398, 2)]"
246,Cages,9,9,4,0,"['Pet Supplies', 'Cats', 'Cages']",[],0,[]
247,Harnesses,174,174,244,0,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Harnesses']",[],0,[]
248,Collars,318,353,244,1,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Collars']",[251],0,[]
249,Collar Charms,12,12,244,0,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Collar Charms']",[],1,"[(494, 1)]"
250,Leashes,38,38,244,0,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Leashes']",[],0,[]
251,Accessories,35,35,248,0,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Collars', 'Accessories']",[],0,[]
252,Carriers,21,90,243,2,"['Pet Supplies', 'Cats', 'Carriers & Strollers', 'Carriers']","[254, 255]",3,"[(448, 2), (343, 2), (2, 2)]"
253,Strollers,17,17,243,0,"['Pet Supplies', 'Cats', 'Carriers & Strollers', 'Strollers']",[],0,[]
254,Hard-Sided Carriers,32,32,252,0,"['Pet Supplies', 'Cats', 'Carriers & Strollers', 'Carriers', 'Hard-Sided Carriers']",[],0,[]
255,Soft-Sided Carriers,37,37,252,0,"['Pet Supplies', 'Cats', 'Carriers & Strollers', 'Carriers', 'Soft-Sided Carriers']",[],0,[]
256,Spray Repellents,34,34,242,0,"['Pet Supplies', 'Cats', 'Educational Repellents', 'Spray Repellents']",[],0,[]
257,Repellent Mats,8,8,242,0,"['Pet Supplies', 'Cats', 'Educational Repellents', 'Repellent Mats']",[],0,[]
258,Cat Flaps,103,103,240,0,"['Pet Supplies', 'Cats', 'Cat Flaps, Steps, Nets & Pens', 'Cat Flaps']",[],0,[]
259,Stairs & Steps,0,10,240,2,"['Pet Supplies', 'Cats', 'Cat Flaps, Steps, Nets & Pens', 'Stairs & Steps']","[261, 262]",0,[]
260,Outdoor Pens,2,2,240,0,"['Pet Supplies', 'Cats', 'Cat Flaps, Steps, Nets & Pens', 'Outdoor Pens']",[],0,[]
261,Steps,9,9,259,0,"['Pet Supplies', 'Cats', 'Cat Flaps, Steps, Nets & Pens', 'Stairs & Steps', 'Steps']",[],0,[]
262,Stairs,1,1,259,0,"['Pet Supplies', 'Cats', 'Cat Flaps, Steps, Nets & Pens', 'Stairs & Steps', 'Stairs']",[],0,[]
263,Brushes,92,92,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Brushes']",[],0,[]
264,Shampoos & Conditioners,0,86,239,3,"['Pet Supplies', 'Cats', 'Grooming', 'Shampoos & Conditioners']","[275, 276, 277]",0,[]
265,Dander Remover Sprays,6,6,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Dander Remover Sprays']",[],0,[]
266,Shedding Tools,32,32,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Shedding Tools']",[],0,[]
267,Combs,26,26,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Combs']",[],0,[]
268,Claw Care,154,154,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Claw Care']",[],0,[]
269,Hair Removal Mitts & Rollers,10,10,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Hair Removal Mitts & Rollers']",[],0,[]
270,Styptic Gels & Powders,3,3,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Styptic Gels & Powders']",[],0,[]
271,Electric Clippers & Blades,0,18,239,2,"['Pet Supplies', 'Cats', 'Grooming', 'Electric Clippers & Blades']","[273, 274]",0,[]
272,Scissors,8,8,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Scissors']",[],0,[]
273,Electric Clippers,14,14,271,0,"['Pet Supplies', 'Cats', 'Grooming', 'Electric Clippers & Blades', 'Electric Clippers']",[],0,[]
274,Replacement Blades,4,4,271,0,"['Pet Supplies', 'Cats', 'Grooming', 'Electric Clippers & Blades', 'Replacement Blades']",[],0,[]
275,Shampoos,74,74,264,0,"['Pet Supplies', 'Cats', 'Grooming', 'Shampoos & Conditioners', 'Shampoos']",[],0,[]
276,Conditioners,6,6,264,0,"['Pet Supplies', 'Cats', 'Grooming', 'Shampoos & Conditioners', 'Conditioners']",[],0,[]
277,Shampoos Plus Conditioners,6,6,264,0,"['Pet Supplies', 'Cats', 'Grooming', 'Shampoos & Conditioners', 'Shampoos Plus Conditioners']",[],0,[]
278,Scratching Pads,192,192,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Scratching Pads']",[],0,[]
279,Beds & Sofas,0,1528,238,2,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Beds & Sofas']","[286, 287]",0,[]
280,Scratching Posts,318,318,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Scratching Posts']",[],0,[]
281,Cat Houses & Condos,369,369,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Cat Houses & Condos']",[],0,[]
282,Activity Trees,407,407,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Activity Trees']",[],0,[]
283,Bed Mats,23,23,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Bed Mats']",[],0,[]
284,Window Perches,59,59,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Window Perches']",[],0,[]
285,Bed Blankets,8,8,238,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Bed Blankets']",[],0,[]
286,Beds,1385,1385,279,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Beds & Sofas', 'Beds']",[],0,[]
287,Sofas,143,143,279,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Beds & Sofas', 'Sofas']",[],0,[]
288,Dry,966,966,237,0,"['Pet Supplies', 'Cats', 'Food', 'Dry']",[],0,[]
289,Wet,127,1895,237,2,"['Pet Supplies', 'Cats', 'Food', 'Wet']","[290, 291]",0,[]
290,Canned,1663,1663,289,0,"['Pet Supplies', 'Cats', 'Food', 'Wet', 'Canned']",[],0,[]
291,Pouches,105,105,289,0,"['Pet Supplies', 'Cats', 'Food', 'Wet', 'Pouches']",[],0,[]
292,Catnip,151,151,236,0,"['Pet Supplies', 'Cats', 'Treats', 'Catnip']",[],0,[]
293,Snacks,615,615,236,0,"['Pet Supplies', 'Cats', 'Treats', 'Snacks']",[],0,[]
294,Litter Boxes,428,428,235,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes']",[],0,[]
295,Litter,398,398,235,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter']",[],0,[]
296,Litter Box Liners,134,134,235,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Box Liners']",[],0,[]
297,Odor & Stain Removers,175,175,235,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Odor & Stain Removers']",[],0,[]
298,Litter Scoops,124,124,235,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Scoops']",[],0,[]
299,Food Storage,21,21,234,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Food Storage']",[],0,[]
300,Fountains,56,56,234,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Fountains']",[],0,[]
301,Bowls,215,215,234,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Bowls']",[],0,[]
302,Automatic Feeders,41,41,234,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Automatic Feeders']",[],0,[]
303,Nursing Supplies,8,8,234,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Nursing Supplies']",[],0,[]
304,Supplements & Vitamins,87,476,233,6,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins']","[324, 325, 326, 327, 328, 329]",0,[]
305,"Flea, Lice & Tick Control",5,267,233,8,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control']","[316, 317, 318, 319, 320, 321, 322, 323]",0,[]
306,Wormers,20,20,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Wormers']",[],0,[]
307,Hairball Remedy Pastes & Gels,112,112,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Hairball Remedy Pastes & Gels']",[],0,[]
308,Dental Care,121,121,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Dental Care']",[],0,[]
309,Ear Care,26,26,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Ear Care']",[],0,[]
310,Milk Replacers,23,23,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Milk Replacers']",[],0,[]
311,Itch Remedies,22,22,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Itch Remedies']",[],0,[]
312,Digestive Remedies,52,52,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Digestive Remedies']",[],0,[]
313,Recovery Collars & Cones,10,10,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Recovery Collars & Cones']",[],0,[]
314,Relaxants,73,73,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Relaxants']",[],0,[]
315,Eye Care,18,18,233,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Eye Care']",[],0,[]
316,Flea Drops,131,131,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Flea Drops']",[],0,[]
317,Flea Collars,41,41,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Flea Collars']",[],0,[]
318,Cat Flea Sprays,23,23,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Cat Flea Sprays']",[],0,[]
319,Flea Combs,12,12,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Flea Combs']",[],0,[]
320,Flea Shampoos,19,19,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Flea Shampoos']",[],0,[]
321,Cat Flea Powders,15,15,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Cat Flea Powders']",[],0,[]
322,Carpet Flea Powders & Sprays,20,20,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Carpet Flea Powders & Sprays']",[],0,[]
323,Tick Remover Tools,1,1,305,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Flea, Lice & Tick Control', 'Tick Remover Tools']",[],0,[]
324,Herbal Supplements,29,29,304,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Herbal Supplements']",[],0,[]
325,Bone & Joint Health Supplements,160,160,304,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Bone & Joint Health Supplements']",[],0,[]
326,Multivitamins,109,109,304,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Multivitamins']",[],0,[]
327,Fish Oil Supplements,29,29,304,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Fish Oil Supplements']",[],0,[]
328,Probiotics,22,22,304,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Probiotics']",[],0,[]
329,Antioxidants,40,40,304,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Antioxidants']",[],0,[]
330,Catnip Toys,666,666,232,0,"['Pet Supplies', 'Cats', 'Toys', 'Catnip Toys']",[],0,[]
331,Mice & Animal Toys,541,541,232,0,"['Pet Supplies', 'Cats', 'Toys', 'Mice & Animal Toys']",[],0,[]
332,Feather Toys,242,242,232,0,"['Pet Supplies', 'Cats', 'Toys', 'Feather Toys']",[],0,[]
333,Balls,199,199,232,0,"['Pet Supplies', 'Cats', 'Toys', 'Balls']",[],0,[]
334,Laser Toys,30,30,232,0,"['Pet Supplies', 'Cats', 'Toys', 'Laser Toys']",[],0,[]
335,Grooming,87,277,3,3,"['Pet Supplies', 'Small Animals', 'Grooming']","[356, 357, 358]",0,[]
336,Health Supplies,72,72,3,0,"['Pet Supplies', 'Small Animals', 'Health Supplies']",[],0,[]
337,Food,427,427,3,0,"['Pet Supplies', 'Small Animals', 'Food']",[],0,[]
338,Houses & Habitats,73,1001,3,4,"['Pet Supplies', 'Small Animals', 'Houses & Habitats']","[352, 353, 354, 355]",0,[]
339,Treats,200,200,3,0,"['Pet Supplies', 'Small Animals', 'Treats']",[],0,[]
340,Feeding & Watering Supplies,12,428,3,3,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies']","[349, 350, 351]",0,[]
341,Toys,250,250,3,0,"['Pet Supplies', 'Small Animals', 'Toys']",[],0,[]
342,Odor & Stain Removers,31,31,3,0,"['Pet Supplies', 'Small Animals', 'Odor & Stain Removers']",[],0,[]
343,Carriers,177,177,3,0,"['Pet Supplies', 'Small Animals', 'Carriers']",[],3,"[(252, 2), (448, 2), (2, 2)]"
344,Exercise Wheels,56,56,3,0,"['Pet Supplies', 'Small Animals', 'Exercise Wheels']",[],0,[]
345,"Collars, Harnesses & Leashes",0,167,3,3,"['Pet Supplies', 'Small Animals', 'Collars, Harnesses & Leashes']","[346, 347, 348]",0,[]
346,Harnesses,107,107,345,0,"['Pet Supplies', 'Small Animals', 'Collars, Harnesses & Leashes', 'Harnesses']",[],0,[]
347,Leashes,8,8,345,0,"['Pet Supplies', 'Small Animals', 'Collars, Harnesses & Leashes', 'Leashes']",[],0,[]
348,Collars,52,52,345,0,"['Pet Supplies', 'Small Animals', 'Collars, Harnesses & Leashes', 'Collars']",[],0,[]
349,Water Bottles,160,160,340,0,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Water Bottles']",[],0,[]
350,Automatic Feeders,59,59,340,0,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders']",[],0,[]
351,Bowls,197,197,340,0,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Bowls']",[],0,[]
352,Bedding & Litter,190,190,338,0,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Bedding & Litter']",[],0,[]
353,Cages,579,579,338,0,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Cages']",[],0,[]
354,Tubes & Tunnels,66,66,338,0,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels']",[],0,[]
355,Beds,93,93,338,0,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Beds']",[],0,[]
356,Deodorizers,47,47,335,0,"['Pet Supplies', 'Small Animals', 'Grooming', 'Deodorizers']",[],0,[]
357,Combs,51,51,335,0,"['Pet Supplies', 'Small Animals', 'Grooming', 'Combs']",[],0,[]
358,Brushes,92,92,335,0,"['Pet Supplies', 'Small Animals', 'Grooming', 'Brushes']",[],0,[]
359,Toys,554,7634,1,6,"['Pet Supplies', 'Dogs', 'Toys']","[549, 550, 551, 552, 553, 554]",0,[]
360,Memorials,1095,1095,1,0,"['Pet Supplies', 'Dogs', 'Memorials']",[],0,[]
361,Health Supplies,218,6250,1,12,"['Pet Supplies', 'Dogs', 'Health Supplies']","[520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531]",0,[]
362,Food,47,4266,1,5,"['Pet Supplies', 'Dogs', 'Food']","[510, 511, 512, 513, 514]",0,[]
363,"Collars, Harnesses & Leashes",79,15851,1,6,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes']","[491, 492, 493, 494, 495, 496]",0,[]
364,Training & Behavior Aids,164,1858,1,9,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids']","[476, 477, 478, 479, 480, 481, 482, 483, 484]",0,[]
365,Treats,212,7464,1,6,"['Pet Supplies', 'Dogs', 'Treats']","[463, 464, 465, 466, 467, 468]",0,[]
366,"Doors, Gates & Ramps",18,761,1,4,"['Pet Supplies', 'Dogs', 'Doors, Gates & Ramps']","[459, 460, 461, 462]",0,[]
367,Carriers & Travel Products,0,2492,1,6,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products']","[447, 448, 449, 450, 451, 452]",0,[]
368,Feeding & Watering Supplies,52,3051,1,8,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies']","[437, 438, 439, 440, 441, 442, 443, 444]",0,[]
369,Litter & Housebreaking,30,2151,1,5,"['Pet Supplies', 'Dogs', 'Litter & Housebreaking']","[430, 431, 432, 433, 434]",0,[]
370,Grooming,145,4775,1,15,"['Pet Supplies', 'Dogs', 'Grooming']","[408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422]",0,[]
371,Apparel & Accessories,186,9919,1,15,"['Pet Supplies', 'Dogs', 'Apparel & Accessories']","[391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405]",1,"[(2, 1)]"
372,"Houses, Kennels & Pens",56,1765,1,4,"['Pet Supplies', 'Dogs', 'Houses, Kennels & Pens']","[385, 386, 387, 388]",0,[]
373,Beds & Furniture,15,3040,1,8,"['Pet Supplies', 'Dogs', 'Beds & Furniture']","[375, 376, 377, 378, 379, 380, 381, 382]",0,[]
374,Medications,7,7,1,0,"['Pet Supplies', 'Dogs', 'Medications']",[],0,[]
375,Beds,1949,1949,373,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Beds']",[],0,[]
376,Bed Mats,442,442,373,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Bed Mats']",[],0,[]
377,Stairs & Steps,2,164,373,2,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Stairs & Steps']","[383, 384]",0,[]
378,Bed Pillows,114,114,373,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Bed Pillows']",[],0,[]
